addresskey,metro_dist,rail_dist,bus_dist,parks_dist,monument_dist,sports_dist
7967383000,39.6232255123179,659.369395710781,22.1359436211787,1307.38530852408,1371.11047761495,57.6716854270963
7967582000,869.393995838467,1154.37694017165,55.8616147278334,467.880045351071,3062.94416354653,63.1800601455915
7968606000,172.965314441942,1054.21677087779,91.2195154558497,501.316604895502,522.254844735753,246.62127604892
7988818000,2463.99761120012,505.139097675111,18.0507063573636,4616.5069637414,2176.75614289016,183.009123816262
7993803000,1138.91395636369,331.602171283603,73.7834669827869,344.91357463859,2048.14343861057,94.175368329516
8006825000,396.297819953677,1837.25513799803,19.0631083509534,1747.03791409172,4445.82696415486,61.0221279537273
8017443000,739.006089284791,866.741599324735,66.0302960768767,900.850284023778,1221.55492877662,138.046608071338
8022912000,1674.0050776506,966.935364954659,84.1724420460759,342.184096386082,2984.3136177812,109.786155775671
8023406000,1582.26957248125,824.34762084936,170.417135288679,584.240805206513,1756.66334414939,203.482185952481
8024536000,83.0963296421689,142.425419079601,122.653984851696,1201.21995255049,3697.87930619473,118.338497539896
8036485000,408.696709064313,1165.69121125622,16.1554944214035,667.346974968422,1853.93829190115,339.833659309938
8051702000,538.61396194306,487.016426827679,53.9073278877742,1126.03870830986,495.347975373791,32.7566787083184
8052430000,20,162.984661855035,41.2310562561766,1154.14352602856,2931.36644746403,339.344733420131
8059739000,375.453059649272,321.73436247936,55.4707129934347,747.283428492782,1377.63331382894,237.95167576632
8066431000,642.03582454564,118.878088813709,38.8973006775534,375.55539773807,573.773859185637,18.7882942280559
8075755000,215.800834104041,206.305598566786,85.4400374531753,917.675389420735,831.06528756902,172.803356448884
8080529000,3922.12251210999,674.196558875822,73.5934779718964,4588.23746714661,4514.07138194659,74.3645325407172
8080844000,289.115893717381,362.751981386732,275.070899951267,142.302461471384,1350.45260774596,258.216743066729
8085359000,2790.02258055378,361.32118675771,33.1058907144937,1144.78478287404,4515.48862132408,180.712478816489
8085640000,1926.80927961228,163.367683462795,37,1837.83140114958,2150.47255459098,118.399326433906
8087374000,2154.16108961238,526.370591883703,18.6010752377383,725.713570556135,3039.68495124111,214.361913827999
8105336000,142.863571283935,651.11135760329,22.4722050542442,566.583519880318,1805.45498972614,146.373080858462
8113311000,6656.55075846343,6309.72661848356,31.3049516849971,2836.81469036756,3050.05494828677,929.563876234441
8117923000,404.199208311941,404.199208311941,372.206931692573,853.822756836895,1513.82225281631,287.85065572272
8119031000,1783.80520236936,719.813864828957,69.1158447825099,1382.82263056379,3105.211596878,558.072282415096
8120599000,237.261459154242,269.133795722499,21.9317121994613,453.406318879481,1632.37212546733,144.772474248381
8125845000,522.965682430513,1718.91157567804,40.7848623878853,3250.33683601229,3536.5851246628,47.9578408604917
8134284000,128.456218222397,128.456218222397,67.0820393249937,289.88611988147,386.860808429547,98.488578017961
8136114000,1838.15668537804,535.044857932491,125.936491931449,622.86552442048,2717.24748545151,117.388244726634
8136120000,1371.16665653742,739.397727883985,29.9666481275434,1900.22009792393,3421.74855109829,325.564125787839
8162172000,593.383046943532,470.538457939412,83.0395110775555,1364.80582198795,283.077411098565,221.692310195912
8165416000,853.330533849575,499.120225997705,26.9072480941474,540.225971237706,2858.99347571943,219.200821166345
8170265000,104.043260233424,89.4930164873215,129.448831589937,505.155443898029,1497.25328310544,0
8175047000,285.187657516941,157.49603169604,121.926207191071,75.4067636226564,1539.35280231666,123.028244724513
8176679000,664.70218895382,1645.94289086833,72.0069441095788,3358.37162476149,214.886069576571,319.249119027759
8189025000,79.3788384898645,79.3788384898645,30.4630924234556,656.392919674794,1122.22416561206,125.143917151414
