lsoa,index,income,employment,education,health,crime,housing,living,incomedeprivationaffectingchildrenindex,incomedeprivationaffectingolderpeopleindex,lat,lon
E01000563,11,0.069,0.057,3.446,-0.712,0.559,27.378,17.327,0.083,0.108,51.56756327,-0.319390779
E01000564,18.349,0.122,0.079,13.555,-0.671,-0.526,47.753,16.44,0.185,0.241,51.56364701,-0.309174272
E01000565,25.104,0.208,0.126,15.944,-0.336,0.547,34.778,24.95,0.286,0.283,51.56252216,-0.319145139
E01000566,15.192,0.106,0.069,7.655,-0.944,-0.014,42.005,16.029,0.179,0.142,51.56601888,-0.310404772
E01000568,14.428,0.047,0.031,1.125,-0.877,0.251,72.586,19.169,0.064,0.178,51.57634036,-0.318744172
E01000569,9.729,0.089,0.046,3.819,-0.704,-0.41,31.484,13.34,0.152,0.17,51.57025376,-0.312964434
E01000571,21.065,0.152,0.112,10.352,-0.551,0.857,31.457,21.398,0.181,0.239,51.5594733,-0.294907161
E01000572,11.912,0.095,0.05,6.783,-0.886,-0.274,38.051,12.701,0.157,0.148,51.57445006,-0.307917895
E01000613,27.499,0.173,0.112,17.161,-0.21,-0.287,53.418,36.211,0.225,0.376,51.5601191,-0.306314079
E01002167,18.977,0.144,0.075,22.13,-0.834,0.741,30.108,19.76,0.174,0.374,51.59172216,-0.297320301
E01002168,25.829,0.229,0.13,19.338,0.296,0.557,26.154,16.371,0.284,0.429,51.59346092,-0.299789006
E01002173,12.244,0.115,0.074,6.392,-1.213,-0.016,30.663,9.724,0.138,0.201,51.59011831,-0.315887447
E01002174,9.255,0.095,0.064,6.589,-0.965,-0.289,22.709,11.553,0.093,0.204,51.59122122,-0.311379474
E01002175,11.736,0.1,0.062,5.359,-0.784,0.445,25.875,13.609,0.111,0.202,51.58848694,-0.306394027
E01002176,12.305,0.082,0.067,7.809,-1.146,0.574,26.507,18.898,0.109,0.14,51.58622218,-0.316570891
E01002127,12.886,0.099,0.079,2.461,-0.793,0.534,24.01,20.49,0.143,0.157,51.58172436,-0.32274015
E01002131,26.146,0.218,0.147,11.162,0.509,-0.376,38.896,12.167,0.302,0.341,51.58528927,-0.325119406
E01002165,13.349,0.098,0.073,13.073,-0.93,-0.035,30.923,16.777,0.121,0.244,51.58749384,-0.286933427
E01002166,14.131,0.135,0.072,12.734,-0.874,0.213,25.832,14.926,0.175,0.261,51.58960707,-0.292606697
E01002169,16.164,0.134,0.077,15.922,-0.751,0.083,33.873,13.562,0.182,0.291,51.59087763,-0.288205307
E01002170,15.102,0.131,0.089,15.348,-0.608,-0.054,25.782,15.048,0.127,0.275,51.59181097,-0.306102562
E01002171,11.916,0.107,0.066,9.491,-0.899,0.027,26.165,15.793,0.136,0.156,51.5885212,-0.297543703
E01002172,13.544,0.127,0.069,13.87,-0.914,-0.22,28.903,15.09,0.154,0.19,51.59006745,-0.322901367
E01033457,17.145,0.086,0.058,7.625,-0.465,0.961,31.92,35.04,0.089,0.246,51.56002816,-0.286412817
E01033463,15.448,0.118,0.079,8.14,-0.948,0.034,38.23,15.516,0.132,0.197,51.5834823,-0.291875718
E01001827,42.444,0.286,0.207,48.541,0.638,0.514,41.271,27.995,0.279,0.429,51.56863029,-0.057480658
E01001828,41.742,0.328,0.201,19.055,0.696,0.716,44.714,26.841,0.395,0.478,51.56665226,-0.054089729
E01001800,41.202,0.269,0.199,39.093,0.992,0.397,38.089,35.899,0.254,0.512,51.56800257,-0.074450678
E01000907,35.508,0.311,0.229,16.016,0.656,0.26,21.661,25.569,0.397,0.332,51.56395291,-0.142531196
